rank,player_id,player_name,tracked_fga,tracked_2pa,tracked_2pm,expected_2pt_makes,successful_games,failed_games,pbp_fga_global,two_fg_pct,two_xfg_pct,fg_minus_xfg_pp,xfg_coverage_pct_vs_pbp_fga
99,1630578,Alperen Sengun,968,846,482,456.138,65,6,1123,56.973995271867615,53.91702127659574,3.056973995271875,86.19768477292965
100,1642907,Cedric Coward,566,323,182,172.61499999999998,56,6,648,56.34674922600619,53.441176470588225,2.905572755417964,87.34567901234568
101,1627826,Ivica Zubac,403,403,234,222.389,42,6,482,58.064516129032256,55.18337468982631,2.8811414392059476,83.60995850622406
102,1630549,Day'Ron Sharpe,329,294,192,183.582,60,2,356,65.3061224489796,62.44285714285714,2.8632653061224502,92.41573033707866
103,1629111,Jock Landale,477,302,185,176.538,63,5,548,61.258278145695364,58.45629139072849,2.801986754966876,87.04379562043796
104,1641707,Taylor Hendricks,300,142,85,81.052,51,5,355,59.859154929577464,57.078873239436625,2.780281690140839,84.50704225352112
105,202699,Tobias Harris,561,368,206,195.97,59,4,659,55.97826086956522,53.25271739130435,2.7255434782608674,85.12898330804249
106,1631114,Jalen Williams,391,327,177,168.09900000000002,31,2,446,54.12844036697248,51.40642201834863,2.7220183486238483,87.66816143497758
107,1630193,Immanuel Quickley,824,388,200,189.644,66,4,905,51.54639175257732,48.87731958762887,2.669072164948453,91.04972375690608
108,1629611,Terance Mann,325,179,99,94.285,59,4,367,55.3072625698324,52.6731843575419,2.634078212290504,88.5558583106267
109,1631096,Chet Holmgren,644,437,279,267.814,62,7,779,63.84439359267734,61.284668192219684,2.5597254004576584,82.67008985879332
110,203944,Julius Randle,1146,805,457,436.705,78,1,1207,56.77018633540373,54.249068322981365,2.521118012422363,94.94614747307374
111,1641824,Matas Buzelis,818,394,239,229.09,67,10,963,60.65989847715736,58.14467005076142,2.515228426395943,84.94288681204569
112,1628374,Lauri Markkanen,644,376,216,206.74099999999999,37,5,805,57.4468085106383,54.98430851063829,2.4625000000000057,80.0
113,1630700,Dyson Daniels,638,540,317,303.924,68,8,777,58.7037037037037,56.28222222222222,2.421481481481486,82.1106821106821
114,1629638,Nickeil Alexander-Walker,991,460,248,236.977,71,7,1195,53.91304347826087,51.516739130434786,2.3963043478260815,82.92887029288703
115,1629018,Gary Trent Jr.,421,121,57,54.133,62,3,473,47.107438016528924,44.73801652892562,2.3694214876033044,89.00634249471459
116,1642259,Alex Sarr,565,432,239,228.772,46,2,656,55.324074074074076,52.95648148148148,2.367592592592594,86.1280487804878
117,1631128,Christian Braun,305,193,132,127.46300000000001,39,5,389,68.39378238341969,66.04300518134716,2.3507772020725355,78.40616966580977
118,1629674,Neemias Queta,439,433,291,280.85200000000003,72,4,499,67.20554272517322,64.86189376443419,2.3436489607390314,87.97595190380761
119,1642345,Oso Ighodaro,335,335,225,217.191,78,2,366,67.16417910447761,64.8331343283582,2.3310447761194126,91.53005464480874
120,202696,Nikola Vučević,690,450,249,238.58,57,6,799,55.333333333333336,53.01777777777778,2.315555555555555,86.35794743429287
121,203507,Giannis Antetokounmpo,564,520,335,322.97200000000004,35,0,598,64.42307692307692,62.11000000000001,2.3130769230769133,94.31438127090301
122,1627780,Gary Payton II,392,269,193,186.804,63,3,415,71.74721189591078,69.44386617100372,2.303345724907061,94.4578313253012
123,1630595,Cade Cunningham,1013,690,358,342.118,60,4,1189,51.88405797101449,49.58231884057972,2.3017391304347754,85.19764507989908
