rank_all,player_id,player_name,pbp_fga_global,successful_games,failed_games,attempts,makes,expected_makes,fg_pct,xfg_pct,fg_minus_xfg_pp
54,1631124,Julian Strawther,319,23,11,40,20,16.791,50.0,41.977500000000006,8.022499999999994
55,202685,Jonas Valančiūnas,390,45,9,91,53,45.777,58.24175824175824,50.3043956043956,7.937362637362639
56,1627750,Jamal Murray,1360,49,24,144,74,62.6,51.388888888888886,43.47222222222222,7.916666666666664
57,1642377,Jaylen Wells,698,44,21,58,31,26.438,53.44827586206897,45.58275862068965,7.865517241379315
58,203501,Tim Hardaway Jr.,778,42,20,39,21,17.934,53.84615384615385,45.98461538461539,7.8615384615384585
59,1626171,Bobby Portis,750,48,18,108,57,48.516,52.77777777777778,44.92222222222222,7.855555555555561
60,1629023,P.J. Washington,658,26,19,43,24,20.647000000000002,55.81395348837209,48.01627906976745,7.797674418604643
61,1630217,Desmond Bane,1205,53,26,108,53,44.784,49.074074074074076,41.46666666666666,7.607407407407415
62,1630702,Jaden Hardy,429,26,11,37,18,15.211,48.648648648648646,41.11081081081081,7.537837837837834
63,1630230,Naji Marshall,821,38,27,101,53,45.463,52.475247524752476,45.01287128712872,7.462376237623758
64,1628973,Jalen Brunson,1475,51,23,278,141,120.94500000000001,50.719424460431654,43.50539568345324,7.214028776978417
65,1630202,Payton Pritchard,1091,52,22,190,103,89.558,54.21052631578947,47.13578947368422,7.074736842105253
66,1642265,Rob Dillingham,412,38,9,41,22,19.189,53.65853658536585,46.802439024390246,6.856097560975606
67,203497,Rudy Gobert,491,18,9,21,14,12.574,66.66666666666667,59.87619047619048,6.790476190476191
68,1630198,Isaiah Joe,543,23,11,22,12,10.513,54.54545454545455,47.78636363636363,6.759090909090915
69,1627826,Ivica Zubac,482,30,10,66,37,32.547,56.06060606060606,49.31363636363636,6.7469696969697
70,202695,Kawhi Leonard,1258,44,21,231,121,105.71300000000001,52.38095238095238,45.76320346320347,6.617748917748912
71,1631323,Simone Fontecchio,470,11,8,6,4,3.609,66.66666666666667,60.15,6.516666666666673
72,1630700,Dyson Daniels,777,52,12,89,51,45.212,57.30337078651685,50.80000000000001,6.5033707865168395
73,203468,CJ McCollum,1154,58,17,166,82,71.781,49.397590361445786,43.24156626506024,6.1560240963855435
74,1628963,Marvin Bagley III,411,13,15,15,11,10.078,73.33333333333333,67.18666666666667,6.146666666666661
75,1630194,Paul Reed,339,24,9,32,19,17.037,59.375,53.240624999999994,6.134375000000006
76,1630193,Immanuel Quickley,905,48,21,128,65,57.168,50.78125,44.6625,6.118749999999999
77,201942,DeMar DeRozan,1005,54,23,269,136,119.75500000000001,50.55762081784387,44.5185873605948,6.039033457249069
78,1629631,De'Andre Hunter,501,35,9,84,45,40.092,53.57142857142857,47.72857142857143,5.842857142857142
79,1642273,Kyshawn George,577,34,12,69,34,30.127000000000002,49.27536231884058,43.662318840579715,5.613043478260863
80,1630166,Deni Avdija,1065,35,21,66,34,30.362000000000002,51.515151515151516,46.00303030303031,5.512121212121208
81,1642263,Reed Sheppard,946,55,20,100,49,43.503,49.0,43.503,5.497
82,1627742,Brandon Ingram,1288,55,22,276,139,123.917,50.36231884057971,44.89746376811595,5.464855072463763
83,1630596,Evan Mobley,859,41,15,99,52,46.589999999999996,52.525252525252526,47.06060606060606,5.464646464646464
84,204456,T.J. McConnell,450,39,15,128,67,60.1,52.34375,46.953125,5.390625
85,1630559,Austin Reaves,762,33,14,92,46,41.146,50.0,44.72391304347826,5.276086956521738
86,2544,LeBron James,919,36,23,97,44,38.905,45.36082474226804,40.108247422680414,5.25257731958763
